# foot :: Right:0,Left:1
# position :: 'A':1, 'M':2, 'GK':3, 'D':4
id,name,rating,position,height,foot,rare,pace,shooting,passing,dribbling,defending,heading,diving,handling,kicking,reflexes,speed,positioning
1001,GáborKirály,69,GK,191,Right,0,,,,,,,70,66,63,74,35,66
100143,FrederikBoi,65,M,184,Right,0,61,65,63,59,62,62,,,,,,
100264,TomaszSzewczuk,57,A,185,Right,0,65,54,43,53,55,74,,,,,,
100325,SteeveJoseph-Reinette,63,D,180,Left,0,68,38,51,46,64,71,,,,,,
100326,KamelChafni,72,M,181,Right,0,75,64,67,72,57,66,,,,,,
100329,AbdoulayeFaye,72,D,187,Right,1,50,37,47,43,76,82,,,,,,
100330,JoséSaez,67,M,170,Right,0,53,60,65,61,64,60,,,,,,
100391,LaurentDelorge,67,M,179,Right,0,76,58,67,64,63,56,,,,,,
100521,DavidNoble,64,M,183,Right,1,62,52,66,65,56,53,,,,,,
100522,DominicFoley,62,A,186,Left,1,34,65,55,55,56,77,,,,,,
100557,BrianBarry-Murphy,60,M,185,Left,0,61,54,60,47,60,48,,,,,,
100559,PaulMcKenna,68,M,170,Right,0,53,65,68,63,70,69,,,,,,
100574,PawełAbbott,59,A,187,Right,0,51,60,49,51,54,64,,,,,,
100578,RichardCresswell,66,A,183,Right,1,56,63,53,49,62,72,,,,,,
100580,DavidHealy,69,A,173,Right,0,64,72,51,60,48,69,,,,,,
100585,DicksonEtuhu,75,M,188,Right,1,59,55,64,63,80,72,,,,,,
100670,AshleyWestwood,54,D,183,Right,0,47,26,39,40,62,57,,,,,,
100701,PaulIfill,70,A,180,Right,0,72,65,59,78,54,52,,,,,,
100707,DavidArtell,59,D,188,Right,0,48,27,38,36,65,68,,,,,,
100743,MartinRowlands,64,M,175,Right,1,52,60,66,66,63,59,,,,,,
100745,PaulSmith,64,GK,193,Right,1,,,,,,,65,62,55,67,41,62
100751,KevinO'Connor,59,D,180,Right,0,53,48,60,53,62,55,,,,,,
100756,StephenHunt,56,D,185,Left,0,67,32,46,46,59,63,,,,,,
100758,JayTabb,63,M,170,Left,1,69,58,66,65,59,66,,,,,,
100792,BrynjarGunnarsson,61,M,183,Right,0,34,54,61,65,68,66,,,,,,
100798,JamesO'Connor,63,M,173,Right,0,61,53,61,60,68,70,,,,,,
100803,KarlHenry,71,M,185,Right,0,55,57,71,71,73,64,,,,,,
100804,GarethOwen,62,D,185,Left,0,61,19,48,46,65,67,,,,,,
100806,KrisCommons,75,M,168,Left,0,79,74,73,80,48,60,,,,,,
100807,StefanosKotsolis,65,GK,190,Right,0,,,,,,,62,68,62,65,60,64
100889,LouisCarey,67,D,178,Right,0,45,31,45,38,69,78,,,,,,
100899,StevePhillips,61,GK,185,Right,1,,,,,,,46,65,76,71,31,61
100907,DannyColes,62,D,185,Right,0,70,32,33,35,66,67,,,,,,
100932,SotiriosKyrgiakos,76,D,193,Right,1,41,42,46,38,80,80,,,,,,
100954,MonsefZerka,63,M,183,Right,0,69,60,59,64,53,63,,,,,,
100964,RomainPoyet,72,A,184,Right,1,68,70,70,73,56,74,,,,,,
100987,DavidHellebuyck,72,M,178,Left,1,60,79,74,73,62,69,,,,,,
101160,NicolóConsolini,63,D,180,Right,0,71,47,60,57,63,58,,,,,,
101225,Neca,73,M,177,Right,1,64,70,72,74,57,63,,,,,,
101282,OkaNikolov,70,GK,188,Right,0,,,,,,,72,64,59,73,61,73
101286,Rolf-ChristelGuié-Mien,64,M,177,Right,1,65,52,58,71,45,55,,,,,,
101317,MichaelRatajczak,65,GK,187,Right,0,,,,,,,62,63,59,69,55,66
10133,IvanKlasnić,75,A,186,Left,0,60,75,58,72,56,74,,,,,,
101336,ClemensFritz,74,D,183,Right,1,79,62,73,73,72,71,,,,,,
101344,OttoFredrikson,70,GK,189,Right,0,,,,,,,69,71,66,70,50,75
101378,Cacau,78,A,179,Right,0,79,77,62,80,54,77,,,,,,
101411,SaschaKirschstein,66,GK,196,Right,0,,,,,,,67,64,62,70,41,64
101473,TomaszKuszczak,75,GK,190,Right,0,,,,,,,78,72,62,81,50,73
101482,TimoOchs,67,GK,189,Right,0,,,,,,,69,66,54,72,49,64
101488,DanielHaas,71,GK,188,Right,1,,,,,,,72,71,66,76,45,68
101490,ConorCasey,70,A,188,Right,1,57,66,38,67,63,86,,,,,,
101496,MathiasAbel,69,D,188,Right,0,54,40,54,48,73,73,,,,,,
101590,GiuseppeGreco,65,A,182,Left,0,72,62,49,61,55,63,,,,,,
101652,PeterSchyrba,61,D,185,Right,0,65,45,52,53,67,65,,,,,,
101658,CarstenRothenbach,68,D,184,Right,0,67,54,68,61,70,70,,,,,,
101689,AntôniodaSilva,73,M,178,Left,1,48,70,78,75,58,53,,,,,,
101749,JensLangeneke,69,D,185,Right,0,51,41,51,41,73,60,,,,,,
101803,GoranŠukalo,67,M,193,Right,0,56,60,64,59,73,74,,,,,,
10183,DavidMcCracken,60,D,188,Left,0,55,32,49,44,65,54,,,,,,
101868,AndreasGörlitz,67,D,179,Right,0,68,58,66,68,67,64,,,,,,
101875,MarkusMiller,71,GK,189,Right,0,,,,,,,74,67,60,74,45,72
101880,RobertGreen,78,GK,188,Right,0,,,,,,,81,73,78,84,50,74
101882,AdamDrury,65,D,180,Left,0,53,35,60,65,69,65,,,,,,
101891,DarelRussell,63,M,178,Right,0,61,50,61,62,64,63,,,,,,
101934,DexterLangen,61,M,186,Right,0,69,53,58,62,65,56,,,,,,
101997,DavidLucas,61,GK,188,Left,0,,,,,,,57,60,64,66,54,60
101999,GrahamAlexander,64,M,180,Right,1,58,62,65,57,67,68,,,,,,
102001,RobEdwards,65,D,185,Right,0,65,34,42,27,70,70,,,,,,
102021,FilipTrojan,68,M,172,Left,0,74,61,63,71,58,67,,,,,,
102056,SimonePadoin,73,M,179,Right,1,79,65,73,71,64,61,,,,,,
102064,ClaudioTerzi,68,D,180,Right,0,60,46,50,47,68,69,,,,,,
102081,MarcoPisano,63,D,174,Left,0,65,47,58,53,64,65,,,,,,
102084,LucaBelingheri,67,M,183,Right,0,73,60,66,66,62,61,,,,,,
102088,StefanoMorrone,74,M,178,Right,0,61,61,71,71,72,60,,,,,,
102129,PetriPasanen,73,D,187,Right,1,57,58,61,45,74,76,,,,,,
102133,StefanLeitl,68,A,178,Right,0,70,68,64,69,57,57,,,,,,
102293,RanisavJovanović,60,A,193,Left,1,69,59,48,56,54,59,,,,,,
102356,MarkusFeulner,73,M,181,Right,1,68,67,74,72,67,69,,,,,,
102359,ZvjezdanMisimović,81,M,180,Right,1,62,78,82,80,51,59,,,,,,
102362,IvicaGrlić,64,M,187,Right,1,44,70,69,68,57,45,,,,,,
102409,FlorianHeller,67,A,179,Right,0,68,63,69,73,66,69,,,,,,
102587,MattHill,61,D,173,Left,0,54,34,49,43,66,61,,,,,,
102593,CraigWoodman,62,D,175,Left,0,57,28,54,42,61,59,,,,,,
10264,RuudvanNistelrooy,80,A,188,Right,0,55,78,64,73,59,70,,,,,,
103133,SeolKiHyeon,69,A,187,Right,1,81,67,64,74,58,69,,,,,,
103307,JohnOster,67,M,175,Right,0,72,57,68,69,63,60,,,,,,
103496,AndreaCossu,80,M,171,Right,1,80,69,81,84,50,47,,,,,,
103578,MarcinMalinowski,57,M,179,Right,0,53,57,43,45,63,58,,,,,,
103581,AlanDunne,63,D,180,Right,0,69,52,61,58,66,58,,,,,,
103582,MarkPhillips,58,D,188,Right,0,56,33,40,43,63,69,,,,,,
103585,BenMay,56,A,185,Left,0,43,56,40,46,45,64,,,,,,
103591,GeraldSibon,66,A,196,Right,1,28,70,65,54,59,57,,,,,,
103735,NicolasTimmermans,59,D,183,Right,0,66,49,55,55,62,64,,,,,,
103933,JürgenSäumel,70,M,184,Left,0,73,59,69,65,72,67,,,,,,
103935,AlbertoAquilani,81,M,186,Right,1,65,75,84,81,67,62,,,,,,
103936,SimonePepe,78,M,178,Right,0,84,75,76,76,66,64,,,,,,
103996,MahametDiagouraga,65,D,188,Right,0,71,43,42,35,73,67,,,,,,
1040,RobertoCarlos,79,M,168,Left,1,78,75,80,76,80,70,,,,,,
104047,SergioBernardoAlmirón,75,M,176,Right,0,50,71,79,66,68,56,,,,,,
104088,PhilippBönig,67,D,178,Left,0,68,48,64,57,68,68,,,,,,
1041,JavierZanetti,82,M,178,Right,1,63,59,80,79,80,57,,,,,,
104100,MariusEbbers,68,A,192,Right,0,59,65,53,62,61,74,,,,,,
104101,BenjaminKöhler,71,M,172,Left,0,76,65,67,74,53,75,,,,,,
104296,LiamMiller,66,M,170,Right,0,59,60,67,69,55,59,,,,,,
104389,RuneAlmenningJarstein,68,GK,190,Right,0,,,,,,,74,62,75,77,40,62
104442,ChrisBurke,73,M,175,Right,1,80,68,70,76,53,52,,,,,,
104472,TrondErikBertelsen,64,D,174,Left,1,75,57,62,60,66,65,,,,,,
104476,ChristianGrindheim,73,M,179,Right,0,70,69,71,68,68,68,,,,,,
1046,JérômeRothen,72,M,177,Left,1,58,70,75,71,54,44,,,,,,
10468,BenjaminKibebe,61,D,187,Right,0,57,43,47,46,68,72,,,,,,
104702,DanielBraaten,73,M,184,Right,1,80,70,69,80,66,62,,,,,,
104732,DavidPrutton,64,M,185,Right,1,55,65,65,53,63,60,,,,,,
104733,JackLester,64,A,175,Right,0,56,62,36,58,50,71,,,,,,
104737,BarryRoche,62,GK,193,Right,0,,,,,,,61,64,57,65,60,60
10475,FrédéricPage,57,D,185,Right,0,50,49,54,51,60,57,,,,,,
105113,SvenMüller,63,M,191,Right,0,72,60,62,56,67,63,,,,,,
105308,JeanFrancoisGillet,77,GK,181,Left,0,,,,,,,75,73,74,80,60,76
105314,LionelPizzinat,55,M,183,Right,0,49,55,52,58,55,54,,,,,,
105318,JaimeValdés,76,M,176,Right,0,76,75,73,77,54,46,,,,,,
105327,Richarlyson,74,M,176,Left,0,77,69,68,75,71,65,,,,,,
105330,GaetanoD'Agostino,75,M,182,Left,0,67,71,79,70,68,57,,,,,,
105338,MorisCarrozzieri,72,D,192,Right,1,33,41,49,26,81,65,,,,,,
105342,PatrickOwomoyela,73,D,187,Right,1,63,55,72,71,75,83,,,,,,
10535,Xavi,92,M,170,Right,1,67,72,92,85,68,53,,,,,,
105430,GrétarSteinsson,75,D,189,Right,0,55,52,74,60,77,73,,,,,,
105454,ZoranTošić,77,M,171,Left,1,91,75,72,85,40,57,,,,,,
105466,DanieleMartinelli,63,D,181,Right,0,61,46,58,52,63,62,,,,,,
105471,François-JosephModesto,70,M,183,Right,0,63,50,63,60,75,70,,,,,,
105474,DanieleConti,76,M,178,Right,0,53,71,80,71,72,64,,,,,,
105477,DavidSuazo,76,A,182,Right,1,91,76,56,65,58,71,,,,,,
105530,AleksandarVuković,65,M,186,Right,0,49,56,64,54,69,59,,,,,,
105533,ŁukaszZałuska,69,GK,191,Right,0,,,,,,,67,68,66,72,45,68
105558,AlexanderIashvili,68,A,175,Left,0,75,66,64,75,42,54,,,,,,
105663,DennisKruppke,66,M,179,Right,0,71,67,60,63,59,70,,,,,,
105748,LarsJungnickel,65,D,180,Right,0,74,50,57,51,66,71,,,,,,
105803,Gurpegi,75,M,181,Right,0,65,54,67,62,79,82,,,,,,
10584,LucianoZauri,72,D,178,Right,0,54,58,70,67,74,66,,,,,,
105846,ArturBoruc,78,GK,193,Right,0,,,,,,,77,77,69,79,41,77
105865,TomaszKiełbowicz,64,D,179,Left,1,63,52,72,53,64,52,,,,,,
105866,CesareBovo,78,D,181,Right,0,65,61,64,54,78,77,,,,,,
105945,KarelGeraerts,67,M,186,Right,0,60,65,65,55,71,69,,,,,,
106019,Adriano,77,A,190,Left,0,62,80,52,71,59,67,,,,,,
